episode_id,huc8,inter_km2,frac_huc8,frac_footprint,n_events,n_lsr,kept
153400,03090206,1312.7,0.1379,0.9097,2,0,1
153400,03090201,19.9,0.0089,0.0138,0,0,1
153400,03090102,110.4,0.1383,0.0765,0,0,1
152708,03090203,6.6,0.001,0.0013,0,0,0
152708,03090204,69.0,0.0083,0.0136,0,0,1
152708,03090202,2956.4,0.2495,0.5811,0,0,1
152708,03090206,2055.9,0.216,0.4041,2,3,1
152709,03090205,43.4,0.0119,0.0085,0,0,1
152709,03090202,3016.9,0.2546,0.5894,0,0,1
152709,03090206,1597.8,0.1679,0.3122,1,0,1
152709,03090201,460.0,0.205,0.0899,0,0,1
153600,08070100,52.2,0.0869,0.0426,0,0,1
153600,08070201,234.1,0.13,0.191,2,0,1
153600,08070202,939.5,0.1925,0.7664,4,6,1
152276,08040301,195.6,0.0832,0.0133,0,0,1
152276,11140207,3034.4,0.8216,0.207,1,3,1
152276,08040304,2030.4,0.7819,0.1385,6,6,1
152276,08040302,1723.0,0.6949,0.1175,3,3,1
152276,08040303,1151.4,0.4757,0.0785,2,1,1
152276,08040207,1162.5,0.609,0.0793,1,1,1
152276,08040206,1400.4,0.2815,0.0955,0,0,1
152276,08040202,1157.6,0.3403,0.079,1,1,1
152276,08050001,891.4,0.1192,0.0608,0,0,1
152276,12010004,1.0,0.0002,0.0001,0,0,0
152276,11140206,599.1,0.2064,0.0409,1,0,1
152276,11140208,723.8,0.5716,0.0494,0,0,1
152276,11140209,416.1,0.1773,0.0284,0,0,1
152276,11140202,106.0,0.1712,0.0072,0,0,1
152276,08040205,0.1,0.0,0.0,0,0,0
152276,08080203,67.3,0.0172,0.0046,0,0,1
153476,08040301,533.6,0.227,0.2791,0,1,1
153476,08040305,112.8,0.5895,0.059,0,0,1
153476,08040306,0.4,0.0003,0.0002,0,0,0
153476,08040304,341.5,0.1315,0.1786,0,1,1
153476,08040207,720.7,0.3776,0.3769,1,3,1
153476,08050003,120.4,0.0335,0.063,0,0,1
153476,08050002,4.1,0.0016,0.0022,0,0,0
153476,08050001,78.6,0.0105,0.0411,0,0,1
153459,03140105,425.7,0.2323,0.1612,1,3,1
153459,03140104,1485.6,0.6634,0.5626,0,1,1
153459,03140103,299.7,0.0842,0.1135,0,0,1
153459,03140305,398.2,0.2025,0.1508,0,0,1
153459,03140304,31.5,0.012,0.0119,0,0,1
152628,03070101,1254.0,0.1661,0.1767,4,4,1
152628,03060104,645.1,0.1657,0.0909,1,1,1
152628,03130005,345.9,0.0508,0.0487,2,1,1
152628,03130002,836.6,0.1062,0.1179,6,6,1
152628,03070103,228.3,0.0296,0.0322,2,3,1
152628,03150108,97.0,0.0269,0.0137,0,0,1
152628,03150104,1361.1,0.2823,0.1918,4,4,1
152628,03130001,2319.6,0.5648,0.3268,11,10,1
152628,03150102,5.5,0.0024,0.0008,0,0,0
152628,06020003,2.7,0.0017,0.0004,0,0,0
152628,06020002,1.2,0.0002,0.0002,0,0,0
153812,03060104,46.9,0.012,0.0276,0,0,1
153812,03060102,946.9,0.3695,0.5565,0,1,1
153812,06010202,126.3,0.0582,0.0742,1,0,1
153812,03130001,580.4,0.1413,0.3411,1,7,1
153812,06020002,1.0,0.0002,0.0006,0,0,0
152962,04110001,353.8,0.1527,0.2977,1,1,1
152962,04110002,490.9,0.2336,0.4132,0,0,1
152962,04110003,334.0,0.2055,0.2811,0,0,1
152962,04260000,9.6,0.0004,0.0081,0,0,0
152720,07060003,22.7,0.0078,0.0054,0,0,1
152720,07070005,2021.6,0.3306,0.4826,2,0,1
152720,07070004,990.0,0.5833,0.2363,0,0,1
152720,07090003,905.0,0.1858,0.216,0,0,1
152720,07070003,249.9,0.0297,0.0597,0,0,1
153731,08090302,9.0,0.0011,0.0056,0,0,0
153731,08080103,928.8,0.1781,0.5753,0,0,1
153731,08080101,290.0,0.0562,0.1797,0,0,1
153731,08070300,6.8,0.0033,0.0042,0,0,0
153731,08080102,379.8,0.0663,0.2353,1,1,1
153583,03160101,267.9,0.0576,0.2283,0,0,1
153583,03160102,905.9,0.512,0.7718,1,1,1
153290,03140101,1846.5,0.4428,0.9309,1,1,1
153290,03130012,29.1,0.0087,0.0147,0,0,1
153290,03140203,107.9,0.0268,0.0544,0,0,1
153811,03130005,123.7,0.0182,0.0894,0,0,1
153811,03130002,603.9,0.0767,0.4363,2,3,1
153811,03070103,77.4,0.0101,0.0559,0,0,1
153811,03150104,118.4,0.0246,0.0856,0,0,1
153811,03130001,460.6,0.1121,0.3328,1,0,1
153047,03090205,43.4,0.0119,0.0085,0,0,1
153047,03090202,3016.9,0.2546,0.5894,0,0,1
153047,03090206,1597.8,0.1679,0.3122,2,0,1
153047,03090201,460.0,0.205,0.0899,0,0,1
152752,11110206,0.0,0.0,0.0,0,0,0
152752,11110201,35.3,0.0106,0.0084,0,0,1
152752,11110202,335.6,0.0695,0.0795,0,0,1
152752,11010005,1606.5,0.4629,0.3808,1,0,1
152752,08020401,1.3,0.0007,0.0003,0,0,0
152752,08040203,5.6,0.0013,0.0013,0,0,0
152752,08020402,444.6,0.1717,0.1054,0,0,1
152752,11110207,1578.1,0.5548,0.3741,2,2,1
152752,08020301,8.8,0.003,0.0021,0,0,0
152752,11110203,54.1,0.0183,0.0128,0,0,1
152752,11010001,118.6,0.0179,0.0281,0,0,1
152752,11010003,30.2,0.0045,0.0072,0,0,1
153472,03170006,91.1,0.0576,0.0542,0,0,1
153472,03170007,607.5,0.1851,0.3611,1,0,1
153472,03170005,983.8,0.2081,0.5847,0,0,1
153851,03050109,4.2,0.0006,0.0007,0,0,0
153851,03060101,178.7,0.0671,0.0315,0,0,1
153851,03050105,441.7,0.0688,0.0779,0,0,1
153851,06010203,1.1,0.0006,0.0002,0,0,0
153851,03050102,326.3,0.1906,0.0575,0,0,1
153851,06010105,1491.2,0.3063,0.2629,2,0,1
153851,03050101,2920.1,0.4782,0.5149,2,4,1
153851,06010106,0.5,0.0003,0.0001,0,0,0
153851,06010108,3.2,0.0007,0.0006,0,0,0
153851,03040101,303.7,0.0478,0.0535,1,1,1
153851,06010103,0.3,0.0001,0.0001,0,0,0
153851,05050001,0.4,0.0001,0.0001,0,0,0
152629,03150104,0.4,0.0001,0.0004,0,0,0
152629,03130001,12.0,0.0029,0.0141,0,0,1
152629,06020003,191.1,0.1155,0.2247,0,0,1
152629,06020002,647.1,0.1215,0.7608,1,1,1
153456,03050101,0.8,0.0001,0.0002,0,0,0
153456,03040102,339.4,0.1446,0.0635,0,0,1
153456,03040101,3860.7,0.6073,0.7228,14,7,1
