episode_id,begin_utc,end_utc,states,n_events,n_lsr,fatalities,injuries,damage_usd,n_counties,county_fips,min_lat,min_lon,max_lat,max_lon,max_roll_6h_mm,max_roll_12h_mm,max_roll_24h_mm,max_roll_72h_mm,max_ari_years,max_ari_duration,mrms_product
153400,2020-10-01 07,2020-10-02 20,FL,2,0,0,0,0,1,12085,27.04,-80.28,27.18,-80.09,,,,,,,
152708,2020-10-02 17,2020-10-05 21,FL,2,3,0,0,0,1,12086,25.65,-80.42,25.82,-80.26,,,,,,,
152709,2020-10-04 01,2020-10-04 03,FL,1,0,0,0,0,1,12099,26.5,-80.13,26.61,-80.01,,,,,,,
153600,2020-10-09 05,2020-10-10 02,LA,6,6,0,0,0,1,22033,30.42,-91.2,30.55,-91.02,,,,,,,
152276,2020-10-10 00,2020-10-10 14,LA,15,15,0,0,0,7,22021;22043;22059;22069;22073;22111;22127,31.51,-93.32,32.75,-91.94,,,,,,,
153476,2020-10-10 03,2020-10-10 07,LA,1,5,0,0,500000,1,22025,31.72,-91.84,31.91,-91.72,,,,,,,
153459,2020-10-10 16,2020-10-10 18,FL,1,4,0,0,0,1,12113,30.279999999999998,-87.2,30.39,-87.07,,,,,,,
152628,2020-10-10 23,2020-10-11 10,GA,30,29,0,0,180000,9,13011;13063;13085;13121;13139;13157;13187;13223;13311,33.55,-84.85,34.68,-83.52,,,,,,,
153812,2020-10-11 05,2020-10-11 12,GA,2,8,0,0,210000,2,13137;13241,34.61,-83.53,34.93,-83.37,,,,,,,
152962,2020-10-21 11,2020-10-21 14,OH,1,1,0,0,2000,1,39035,41.35,-81.95,41.459999999999994,-81.84,,,,,,,
152720,2020-10-22 16,2020-10-23 09,WI,2,0,0,0,3000,2,55049;55111,43.07,-90.44,43.28,-89.72,,,,,,,
153731,2020-10-24 00,2020-10-24 01,LA,1,1,0,0,1000000,1,22045,29.96,-91.89,30.080000000000002,-91.75,,,,,,,
153583,2020-10-24 01,2020-10-24 02,MS,1,1,0,0,0,1,28081,34.2,-88.8,34.309999999999995,-88.69,,,,,,,
153290,2020-10-24 18,2020-10-24 19,FL,1,1,0,0,0,1,12005,30.14,-85.77,30.28,-85.62,,,,,,,
153811,2020-10-24 23,2020-10-25 06,GA,3,3,0,0,15000,1,13121,33.690000000000005,-84.53999999999999,33.839999999999996,-84.35000000000001,,,,,,,
153047,2020-10-25 05,2020-10-25 13,FL,2,0,0,0,0,1,12099,26.47,-80.13,26.63,-80.01,,,,,,,
152752,2020-10-28 17,2020-10-29 04,AR,3,2,0,0,0,2,05101;05119,34.72,-93.0,36.07,-92.27,,,,,,,
153472,2020-10-29 02,2020-10-29 04,MS,1,0,0,0,0,1,28111,30.95,-89.11,31.07,-88.94,,,,,,,
153851,2020-10-29 12,2020-10-29 18,NC,5,5,0,0,114000,5,37023;37027;37089;37111;37175,35.22,-82.71,36.02,-81.52,,,,,,,
152629,2020-10-29 13,2020-10-29 18,GA,1,1,0,0,25000,1,13291,34.800000000000004,-84.0,34.93,-83.85000000000001,,,,,,,
153456,2020-10-29 13,2020-10-29 18,NC,17,11,0,0,1275000,4,37009;37171;37193;37197,36.1,-81.44,36.55,-80.56,,,,,,,
153457,2020-10-29 14,2020-10-30 07,VA,7,10,0,0,0,5,51031;51035;51067;51089;51141,36.6,-80.67,37.27,-79.19,,,,,,,
153627,2020-11-08 13,2020-11-10 01,FL,2,9,0,0,0,2,12011;12086,25.95,-80.37,26.22,-80.22,,,,,,,
152906,2020-11-11 22,2020-11-11 23,SC,1,1,0,0,1100,1,45075,33.440000000000005,-80.94,33.55,-80.83,,,,,,,
153867,2020-11-11 23,2020-11-12 05,VA,6,11,0,0,10000,5,51011;51029;51031;51121;51143,36.6,-80.43,37.63,-78.51,,,,,,,
154105,2020-11-11 23,2020-11-13 03,NC,65,67,1,0,380000,19,37007;37051;37057;37063;37065;37067;37081;37083;37101;37105;37123;37125;37153;37163;37167;37183;37185;37191;37195,34.81,-80.44,36.35,-77.41,,,,,,,
154188,2020-11-11 23,2020-11-12 15,NC,11,4,0,0,10000,3,37157;37171;37197,36.12,-80.89,36.51,-79.69,,,,,,,
154240,2020-11-11 23,2020-11-12 16,GA,4,4,0,0,0,3,13009;13015;13141,33.06,-84.96,34.36,-83.18,,,,,,,
154002,2020-11-12 01,2020-11-12 17,VA,13,13,0,0,0,7,51093;51109;51550;51650;51710;51800;51810,36.69,-78.01,38.1,-76.05,,,,,,,
154480,2020-11-12 08,2020-11-13 02,NC,12,13,6,0,2020000,11,37003;37023;37025;37027;37035;37045;37097;37109;37119;37159;37179,34.96,-81.67,36.05,-80.55,,,,,,,
154519,2020-11-12 15,2020-11-12 20,SC,1,1,0,0,50000,1,45091,34.96,-81.12,35.08,-80.91,,,,,,,
154003,2020-11-12 17,2020-11-12 18,NC,1,1,0,0,0,1,37143,36.13,-76.52,36.269999999999996,-76.37,,,,,,,
153172,2020-11-12 18,2020-11-12 20,NC,5,3,0,0,0,5,37061;37103;37107;37133;37147,34.73,-78.15,35.63,-77.25,,,,,,,
153994,2020-11-12 18,2020-11-12 23,NC,2,4,0,0,5000,2,37141;37155,34.39,-78.95,34.68,-77.58,,,,,,,
153660,2020-11-12 20,2020-11-13 04,FL,2,3,0,0,0,1,12086,25.81,-80.25,25.94,-80.08,,,,,,,
153995,2020-11-12 21,2020-11-12 23,SC,1,1,0,0,1000,1,45051,34.18,-79.07,34.29,-78.96000000000001,,,,,,,
154538,2020-11-18 20,2020-11-18 23,CA,1,1,0,0,16000,1,06007,39.580000000000005,-121.41,39.709999999999994,-121.26,,,,,,,
154387,2020-11-26 14,2020-11-26 15,SC,1,1,0,0,1000,1,45079,33.93,-81.08,34.05,-80.97,,,,,,,
153310,2020-12-01 05,2020-12-01 07,ME,1,0,0,0,20000,1,23017,44.42,-70.92,44.529999999999994,-70.8,,,,,,,
154386,2020-12-24 23,2020-12-25 11,PA,16,16,0,0,240000,5,42015;42079;42115;42127;42131,41.09,-76.86,41.98,-75.33,,,,,,,
154385,2020-12-25 01,2020-12-26 04,NY,14,13,0,0,475000,4,36007;36023;36025;36107,42.0,-76.27,42.73,-74.51,,,,,,,
155012,2020-12-25 02,2020-12-25 02,VA,1,1,0,0,0,1,51199,37.260000000000005,-76.78,37.37,-76.67,,,,,,,
154745,2020-12-30 01,2020-12-30 03,CA,1,0,0,0,0,1,06059,33.67,-117.95,33.779999999999994,-117.84,,,,,,,
154065,2020-12-31 21,2020-12-31 22,TX,1,0,0,0,0,1,48349,31.96,-96.66,32.25,-96.54,,,,,,,
154248,2021-01-02 13,2021-01-02 20,FL,2,2,0,0,0,2,12005;12065,30.14,-85.62,30.54,-83.87,,,,,,,
154609,2021-01-20 17,2021-01-21 01,CA,2,3,0,0,40000,1,06025,32.73,-115.07,33.03,-114.8,,,,,,,
155591,2021-01-25 10,2021-01-25 11,CA,1,0,0,0,0,1,06059,33.67,-117.71,33.79,-117.59,,,,,,,
155694,2021-01-25 11,2021-01-25 18,MO,24,25,0,0,30000,13,29009;29029;29065;29067;29077;29085;29091;29105;29153;29161;29203;29225;29229,36.53,-93.8,37.94,-91.24,,,,,,,
155216,2021-01-25 16,2021-01-25 22,KY,1,0,0,0,0,1,21145,36.900000000000006,-88.7,37.019999999999996,-88.55,,,,,,,
154993,2021-01-26 01,2021-01-26 02,KY,1,1,0,0,0,1,21031,37.14,-86.71,37.25,-86.60000000000001,,,,,,,
156230,2021-01-28 09,2021-01-28 22,CA,3,0,0,0,0,1,06079,35.17,-121.11,35.57,-120.69,,,,,,,
154448,2021-01-29 02,2021-01-29 05,CA,1,0,0,0,0,1,06107,36.11,-118.75999999999999,36.22,-118.65,,,,,,,
155647,2021-01-29 23,2021-01-30 02,CA,1,0,1,8,0,1,06073,32.49,-117.08,32.599999999999994,-116.96000000000001,,,,,,,
156401,2021-02-11 14,2021-02-11 16,LA,1,1,0,0,0,1,22037,30.81,-91.08,30.93,-90.95,,,,,,,
