huc8,name,states,area_km2,min_lon,min_lat,max_lon,max_lat
01010002,Allagash River,ME,3198.5,-69.7627,46.2354,-68.8339,47.0976
01010003,Fish River,ME,2305.7,-68.9662,46.6838,-68.0724,47.3156
01010004,Aroostook River,"CN,ME",6321.3,-69.1602,46.1964,-67.7171,47.1637
01010005,Meduxnekeag River,"CN,ME",1328.1,-68.1315,45.8992,-67.5719,46.4569
01010006,Headwaters Saint John River,"CN,ME",3135.5,-70.4321,45.9868,-69.6944,46.8317
01010007,Big Black River-Saint John River,"CN,ME",3844.6,-70.2054,46.534,-69.0727,47.4534
01010008,Saint Francis River-Saint John River,"CN,ME",6027.3,-69.4654,46.9686,-68.2748,48.0996
01010009,Little River-Saint John River,"CN,ME",4161.4,-68.5258,46.81,-67.3737,47.8994
01010010,Becaguimec Stream-Saint John River,"CN,ME",2529.4,-68.0093,46.1293,-67.1531,46.8134
01010011,Keswick River-Saint John River,"CN,ME",3633.9,-67.8453,45.7066,-66.6013,46.304
01020001,West Branch Penobscot River,"CN,ME",5520.5,-70.4176,45.5298,-68.515,46.3632
01020002,East Branch Penobscot River,ME,2899.6,-69.7475,45.6095,-68.4069,46.4692
01020003,Mattawamkeag River,ME,3914.9,-68.5606,45.331,-67.6844,46.2676
01020004,Piscataquis River,ME,3764.0,-69.7717,45.0721,-68.6565,45.6309
01020005,Penobscot River,ME,6200.3,-69.2639,44.4077,-68.035,45.8733
01030001,Upper Kennebec River,"CN,ME",4133.4,-70.724,45.1846,-69.1826,45.9155
01030002,Dead River,"CN,ME",2271.0,-70.8258,44.9321,-69.9652,45.523
01030003,Lower Kennebec River,ME,8884.9,-70.5942,44.0,-69.0625,45.3343
01040001,Upper Androscoggin River,"CN,ME,NH",3548.8,-71.3431,44.4076,-70.5063,45.3477
01040002,Lower Androscoggin River,"ME,NH",5588.6,-71.3547,43.8994,-69.8435,44.8501
01050001,Saint Croix River,"CN,ME",4261.8,-68.1761,45.0204,-67.0376,45.9566
01050002,Maine Coastal,ME,12473.7,-69.2673,43.7322,-67.1282,45.2183
01050003,St. George-Sheepscot,ME,3545.1,-69.8765,43.6447,-69.099,44.4957
01050004,Passamaquoddy Bay-Bay of Fundy,"CN,ME",9671.6,-67.5125,44.4176,-66.0187,45.8855
01060001,Presumpscot,ME,3687.4,-70.8804,43.4365,-69.8181,44.39
01060002,Saco River,"ME,NH",4405.4,-71.5227,43.4317,-70.3338,44.3123
01060003,Piscataqua-Salmon Falls,"MA,ME,NH",4473.5,-71.3635,42.8112,-70.2459,43.6206
01070001,Pemigewasset River,NH,2646.8,-72.0323,43.4313,-71.4007,44.2004
01070002,Winnipesaukee River,NH,1256.8,-71.655,43.3954,-71.0776,43.8279
01070003,Contoocook River,NH,1978.9,-72.1426,42.7424,-71.5895,43.5273
01070004,Nashua River,"MA,NH",1380.1,-71.9835,42.2982,-71.4472,42.8115
01070005,Concord River,MA,1035.0,-71.7218,42.1967,-71.2515,42.6468
01070006,Merrimack River,"MA,NH",4666.6,-71.9192,42.4282,-70.804,43.5163
01080101,Headwaters Connecticut River,"CN,ME,NH,VT",3702.5,-71.8821,44.2924,-71.0717,45.3022
01080102,Passumpsic River,"NH,VT",1305.7,-72.2705,44.3191,-71.6976,44.7701
01080103,Ammonoosuc River-Connecticut River,"NH,VT",2402.6,-72.3559,43.9748,-71.303,44.5079
01080104,Waits River-Connecticut River,"NH,VT",1339.7,-72.4285,43.6486,-71.929,44.2065
01080105,White River,VT,1843.8,-72.9814,43.644,-72.3148,44.107
01080106,Black River-Connecticut River,"NH,VT",3423.0,-72.8373,43.1303,-71.9105,43.8252
01080107,West River-Connecticut River,"NH,VT",2199.2,-73.0081,42.7536,-72.1576,43.3819
01080201,Ashuelot River-Connecticut River,"MA,NH,VT",2636.5,-72.829,42.0873,-72.0662,43.2762
